simulation,total_carriers,total_affected,overall_penetrance,population_prevalence,carrier_frequency
0,109,36,0.3302752293577982,36.0,109.0
1,112,37,0.33035714285714285,37.0,111.99999999999999
2,118,29,0.2457627118644068,29.0,118.0
3,117,31,0.26495726495726496,31.0,117.0
4,116,42,0.3620689655172414,42.0,116.0
5,100,28,0.28,27.999999999999996,100.0
6,113,32,0.2831858407079646,32.0,112.99999999999999
7,112,32,0.2857142857142857,32.0,111.99999999999999
8,115,26,0.22608695652173913,25.999999999999996,115.0
9,111,34,0.3063063063063063,34.0,111.00000000000001
10,102,30,0.29411764705882354,29.999999999999996,102.00000000000001
11,116,38,0.3275862068965517,38.0,116.0
12,116,36,0.3103448275862069,36.0,116.0
13,124,34,0.27419354838709675,34.0,124.0
14,104,35,0.33653846153846156,35.0,103.99999999999999
15,106,31,0.29245283018867924,31.0,106.0
16,97,26,0.26804123711340205,25.999999999999996,97.0
17,125,32,0.256,32.0,125.0
18,134,38,0.2835820895522388,38.0,134.0
19,119,28,0.23529411764705882,27.999999999999996,119.00000000000001
20,111,33,0.2972972972972973,33.0,111.00000000000001
21,121,34,0.2809917355371901,34.0,120.99999999999999
22,123,46,0.37398373983739835,46.0,123.0
23,103,32,0.3106796116504854,32.0,103.00000000000001
24,116,47,0.4051724137931034,47.0,116.0
25,108,23,0.21296296296296297,23.0,108.0
26,122,42,0.3442622950819672,42.0,122.0
27,98,24,0.24489795918367346,24.0,98.0
28,106,27,0.25471698113207547,27.0,106.0
29,109,35,0.3211009174311927,35.0,109.0
30,108,25,0.23148148148148148,25.0,108.0
31,116,30,0.25862068965517243,29.999999999999996,116.0
32,115,28,0.24347826086956523,27.999999999999996,115.0
33,108,28,0.25925925925925924,27.999999999999996,108.0
34,111,32,0.2882882882882883,32.0,111.00000000000001
35,121,34,0.2809917355371901,34.0,120.99999999999999
36,99,30,0.30303030303030304,29.999999999999996,99.0
37,106,34,0.32075471698113206,34.0,106.0
38,103,38,0.36893203883495146,38.0,103.00000000000001
39,104,35,0.33653846153846156,35.0,103.99999999999999
40,108,29,0.26851851851851855,29.0,108.0
41,105,23,0.21904761904761905,23.0,105.0
42,117,35,0.29914529914529914,35.0,117.0
43,107,28,0.2616822429906542,27.999999999999996,107.0
44,123,36,0.2926829268292683,36.0,123.0
45,107,28,0.2616822429906542,27.999999999999996,107.0
46,116,31,0.2672413793103448,31.0,116.0
47,98,37,0.37755102040816324,37.0,98.0
48,121,37,0.30578512396694213,37.0,120.99999999999999
49,97,21,0.21649484536082475,21.0,97.0
50,106,28,0.2641509433962264,27.999999999999996,106.0
51,112,35,0.3125,35.0,111.99999999999999
52,130,31,0.23846153846153847,31.0,130.0
53,117,37,0.3162393162393162,37.0,117.0
54,104,28,0.2692307692307692,27.999999999999996,103.99999999999999
55,101,22,0.21782178217821782,22.0,101.0
56,99,29,0.29292929292929293,29.0,99.0
57,122,32,0.26229508196721313,32.0,122.0
58,120,21,0.175,21.0,119.99999999999999
59,134,40,0.29850746268656714,40.0,134.0
60,120,27,0.225,27.0,119.99999999999999
61,107,42,0.3925233644859813,42.0,107.0
62,119,32,0.2689075630252101,32.0,119.00000000000001
63,104,42,0.40384615384615385,42.0,103.99999999999999
64,107,31,0.2897196261682243,31.0,107.0
65,116,32,0.27586206896551724,32.0,116.0
66,98,31,0.3163265306122449,31.0,98.0
67,120,31,0.25833333333333336,31.0,119.99999999999999
68,118,36,0.3050847457627119,36.0,118.0
69,113,34,0.3008849557522124,34.0,112.99999999999999
70,114,38,0.3333333333333333,38.0,114.0
71,115,30,0.2608695652173913,29.999999999999996,115.0
72,112,31,0.2767857142857143,31.0,111.99999999999999
73,117,40,0.3418803418803419,40.0,117.0
74,118,32,0.2711864406779661,32.0,118.0
75,113,35,0.30973451327433627,35.0,112.99999999999999
76,110,30,0.2727272727272727,29.999999999999996,110.0
77,133,26,0.19548872180451127,25.999999999999996,133.0
78,102,23,0.22549019607843138,23.0,102.00000000000001
79,110,33,0.3,33.0,110.0
80,99,27,0.2727272727272727,27.0,99.0
81,108,26,0.24074074074074073,25.999999999999996,108.0
82,116,35,0.3017241379310345,35.0,116.0
83,96,43,0.4479166666666667,43.0,96.0
84,109,31,0.28440366972477066,31.0,109.0
85,95,23,0.24210526315789474,23.0,95.0
86,109,30,0.27522935779816515,29.999999999999996,109.0
87,103,27,0.2621359223300971,27.0,103.00000000000001
88,112,42,0.375,42.0,111.99999999999999
89,109,39,0.3577981651376147,39.0,109.0
90,115,28,0.24347826086956523,27.999999999999996,115.0
91,89,23,0.25842696629213485,23.0,89.0
92,104,32,0.3076923076923077,32.0,103.99999999999999
93,117,33,0.28205128205128205,33.0,117.0
94,110,26,0.23636363636363636,25.999999999999996,110.0
95,98,37,0.37755102040816324,37.0,98.0
96,110,30,0.2727272727272727,29.999999999999996,110.0
97,130,35,0.2692307692307692,35.0,130.0
98,129,36,0.27906976744186046,36.0,129.0
99,114,36,0.3157894736842105,36.0,114.0
